dir path	filename	child age	# participants	partipant type	# adults
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul107	1;7.19	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul108a	1;8.08	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul108b	1;8.21	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul109a	1;9.13	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul109b	1;9.28	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul110	1;10.24	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul111a	1;11.10	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul111b	1;11.23	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul200a	2;0.13	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul200b	2;0.26	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul201a	2;1.11	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul201b	2;1.25	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul202	2;2.11	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul203	2;3.10	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul204	2;4.08	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul205	2;5.08	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel	jul206	2;6.25	2	Father;Mother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor01	1;7.16	4	Mother;Sister;Sister;Investigator;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor02	1;7.23	3	Mother;Sister;Investigator;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor03	1;8.03	4	Mother;Sister;Sister;Investigator;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor04	1;8.27	5	Aunt;Sister;Sister;Father;Investigator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor05	1;9.11	5	Mother;Sister;Sister;Grandmother;Investigator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor06	1;9.25	5	Aunt;Sister;Mother;Grandmother;Investigator;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor07	1;10.24	4	Sister;Grandmother;Mother;Investigator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor08	1;11.06	4	Mother;Sister;Sister;Investigator;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor09	2;7.09	5	Grandmother;Investigator;Aunt;Sister;Sister;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor10	2;9.18	2	Grandmother;Investigator;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina	jor11	22;10.16	3	Grandmother;Sister;Investigator;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/MireiaEvaPascual/Eva	eva01	22;10.16	3	Target_Child;Mother;Sister;	1
