dir path	filename	child age	# participants	partipant type	# adults
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010427	1;04.27	4	Mother;Camera_Operator;Environment;Toy;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010512	1;05.12	5	Mother;Camera_Operator;Toy;Adult;Adult;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010526	1;05.26	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010614	1;06.14	3	Mother;Toy;Grandmother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010700	1;06.14	1	Target_Child;	0
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010707	1;07.07	4	Mother;Grandmother;Father;Toy;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010726	1;07.26	4	Mother;Camera_Operator;Grandmother;Father;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010811	1;08.11	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010825	1;08.25	4	Mother;Camera_Operator;Father;Toy;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010908	1;09.08	5	Mother;Camera_Operator;Environment;Toy;Toy;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	010922	1;09.22	9	Mother;Uncle;Camera_Operator;Environment;Grandmother;Unidentified;Toy;Toy;Toy;	5
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	011006	1;10.06	7	Mother;Camera_Operator;Grandmother;Adult;Unidentified;Father;Toy;	6
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	011024	1;10.24	5	Mother;Camera_Operator;Toy;Toy;Father;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	011103	1;11.03	5	Mother;Toy;Camera_Operator;Grandmother;Environment;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	011117	1;11.17	4	Mother;Grandmother;Adult;Environment;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	011127	1;11.27	4	Mother;Grandmother;Adult;Toy;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020012	2;00.12	4	Mother;Camera_Operator;Grandmother;Father;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020102	2;01.02	4	Mother;Camera_Operator;Grandmother;Father;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020117	2;01.17	4	Mother;Grandmother;Father;Camera_Operator;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020200	2;02.	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020217	2;02.17	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020300	2;03.	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020314	2;03.14	4	Mother;Grandmother;Father;Camera_Operator;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020326	2;03.26	3	Mother;Camera_Operator;Adult;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020411	2;04.11	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020425	2;04.25	3	Mother;Camera_Operator;Grandmother;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020509	2;05.09	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020523	2;05.23	3	Mother;Camera_Operator;Environment;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020606	2;06.06	3	Mother;Camera_Operator;Father;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020620	2;06.20	3	Mother;Camera_Operator;Father;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020705	2;07.05	3	Mother;Adult;Camera_Operator;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020724	2;07.24	3	Mother;Camera_Operator;Grandfather;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020810	2;08.10	3	Mother;Father;Camera_Operator;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020816	2;08.16	5	Mother;Unidentified;Grandmother;Environment;Camera_Operator;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020828	2;08.28	5	Mother;Camera_Operator;Grandmother;Environment;Toy;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020913	2;09.13	4	Mother;Camera_Operator;Environment;Father;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	020926	2;09.26	3	Mother;Grandmother;Camera_Operator;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	021011	2;10.11	5	Mother;Camera_Operator;Father;Adult;Grandmother;	5
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	021025	2;10.25	4	Mother;Camera_Operator;Grandmother;Toy;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	021108	2;11.08	3	Mother;Camera_Operator;Environment;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	021122	2;11.22	3	Mother;Grandmother;Camera_Operator;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030006	3;00.06	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030103	3;01.03	3	Mother;Camera_Operator;Environment;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030119	3;01.19	3	Mother;Grandmother;Camera_Operator;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030200	3;02.	4	Mother;Camera_Operator;Adult;Grandmother;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030214	3;02.14	5	Mother;Toy;Grandmother;Adult;Camera_Operator;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030301	3;03.01	4	Mother;Father;Adult;Camera_Operator;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030313	3;03.13	5	Mother;Grandmother;Toy;Adult;Camera_Operator;	4
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030327	3;03.27	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030410	3;04.10	3	Mother;Grandmother;Toy;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030424	3;04.24	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex	030516	3;05.16	4	Mother;Camera_Operator;Father;Toy;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	001104	0;11.04	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	001121	0;11.21	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010006	1;00.06	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010021	1;00.21	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010105	1;01.05	2	Mother;Toy;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010117	1;01.17	3	Mother;Toy;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010201	1;02.01	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010218	1;02.18	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010228	1;02.28	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010315	1;03.15	3	Mother;Camera_Operator;Toy;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010400	1;04.	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010411	1;04.11	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010426	1;04.26	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010517	1;05.17	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010602	1;06.02	2	Mother;Toy;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010620	1;06.20	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010700	1;07.	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010714	1;07.14	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010726	1;07.26	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010804	1;08.04	2	Mother;Toy;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010820	1;08.20	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010904	1;09.04	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010918	1;09.18	2	Mother;Camera_Operator;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan	010926	1;09.26	1	Mother;	1
