*FAT:	Irene dieciséis meses y cinco días .
*MOT:	Irene deja el teléfono (.) anda .
*MOT:	trae (.) dame el teléfono .
*MOT:	ven (.) pues (.) sientate aquí con mama (.) sientate (.) ahí (.) con mama .
*MOT:	vamos a ver una cosa que tengo yo <aquí> [=! gritando] .
*MOT:	0 [=! tose] .
*MOT:	sientate con mama .
*MOT:	ahí .
*MOT:	pero vamos a dejar el teléfono (.) ven (.) el teléfono no (.) eh ?
*MOT:	el teléfono ahí +...
*MOT:	que es esto (.) hija ?
*MOT:	vamos a abrir la caja .
*MOT:	que es hija ?
*MOT:	a_ver (.) que es ?
*MOT:	que es ?
*MOT:	a_ver <que es esto> [/] que es esto ?
*MOT:	que es ?
*MOT:	0 [=! se rie] .
*MOT:	que es ?
*MOT:	hombre (.) Irene no lo saques todos .
*MOT:	que es esto (.) a_ver (.) que es esto (.) dime que es esto ?
*MOT:	un guau guau ?
*MOT:	y esto ?
*MOT:	esto (.) que es ?
*MOT:	ay (.) ay (.) que rompe !
*MOT:	que es esto ?
*MOT:	también (.) si .
*MOT:	y esto (.) Irene esto ?
*MOT:	un gatin [: gato] no (.) que es esto ?
*MOT:	que es ?
*MOT:	un pez ?
*MOT:	hola pez [=! lo dice con tono musical] .
*MOT:	ma(r)chó .
*MOT:	que hay ahí cariño ?
*MOT:	y esto que tiene aquí el pez (.) que es ?
*MOT:	el ojo .
*MOT:	que quieres ?
*MOT:	un coche ahora ?
*MOT:	no !
*MOT:	que ?
*MOT:	donde &+quie [//] <el pupú> [//] no el coche no está aquí Irene .
*MOT:	no está aquí el coche (.) pero mira quien está <aquí> [% con tono musical] !
*MOT:	<no está> [>] el coche .
*MOT:	que ?
*MOT:	no está aquí el coche (.) pero mira quien está aquí .
*MOT:	mira quien está aquí .
*MOT:	coge el tigre (.) ven (.) dame el tigre que voy yo a buscar el coche (.) ven .
*MOT:	dame el tigre (.) dámelo .
*MOT:	dámelo .
*MOT:	mira lo que dice el tigre (.) mira (.) <hola Irene> [% imitando la voz del tigre] .
*MOT:	0 &=rie .
*MOT:	oye (.) dame el burrín que también está ahí .
*MOT:	lo tienes ahí detrás de ti (.) está el burrín .
