*FAT:	Irene tiene en este momento dieciséis meses y dieciséis días .
*MOT:	que quieres ?
*MOT:	la cuchara ?
*MOT:	como se pide ?
*MOT:	por_favor (.) toma .
*MOT:	para comer (.) si .
*MOT:	anda papa que haces ?
*MOT:	que hace papa ?
*MOT:	0 [=! estornuda] .
*MOT:	tin+ton (.) <es como una campanina [: campana]> [% con tono musical] .
*MOT:	que haces ?
*MOT:	que es una campanina [: campana] ?
*MOT:	venga vamos <a cenar> [/] (.) a cenar todo (.) hum ?
*MOT:	<hombre> [>] Irene no !
*MOT:	a_ver (.) que tito@f quieres ?
*MOT:	que tito@f quieres ?
*MOT:	<el que dice mama a mimin [: mimo]> [//] este que dice mama a mimin [: mimo] ?
*MOT:	este tito@f ?
*MOT:	a_ver deja el vaso aquí [% coge el vaso y lo deja encima de la mesa] .
*MOT:	y cual es el que dice la niña mama a mimin [: mimo] ?
*MOT:	otro tito@f (.) no Irene (.) vamos a ver <el de> [>] +//.
*MOT:	el del bebé ?
*MOT:	hala (.) el del bebé (.) este que es el del bebé .
*MOT:	si (.) como cuando Irene era pequeñita .
*MOT:	a_ver que bebés hay ?
*MOT:	mira (.) el pelirrojo .
*MOT:	ese ?
*MOT:	el guapo .
*MOT:	ese ?
*MOT:	el pelirrojo .
*MOT:	el guapo .
*MOT:	Caracono &=rie .
*MOT:	<lo sabes de memoria (.) ratón> [% riendo] !
*MOT:	ratón (.) si ratón .
*MOT:	ratón (.) que eres un ratón !
*MOT:	<está guapo ese nene> [//] (.) está guapo ?
*MOT:	es pelirrojo (.) si (.) es pelirrojo .
*MOT:	Caracono .
*MOT:	Caracono (.) que vuelves otra vez a empezar ?
*MOT:	oye tendrás que buscar el niño de las cajas .
*MOT:	<otro Caracono (.) si> [% riendo] .
*MOT:	donde tiene los ojinos ?
*MOT:	donde tiene lo ojos el pelirrojo ?
*MOT:	eh (.) Irene donde [/] <donde están los ojos> [/] (.) donde están los ojos ?
*MOT:	ahí [/] ahí (.) muy bien .
*MOT:	otro pelirrojo hay ?
*MOT:	otro pelirrojo si señor (.) efectivamente es otro <pelirrojo> [>] &=rie .
*MOT:	eh ?
*MOT:	si (.) otro pelirrojo .
*MOT:	eh ?
*MOT:	no (.) mama (.) no .
*MOT:	busca al niño de las cajas (.) a ver donde está ?
*MOT:	y el niño que dice ho:la [% cantando] !
*MOT:	te lo busca mama ?
*MOT:	te lo busca mama ?
*MOT:	<chan+chan (.) chan+chan> [% cantando] (.) quien es este ?
*MOT:	<el niño de las cajas> [% cantando] .
*MOT:	y ese ?
*MOT:	<que es> [//] quien es ?
*MOT:	como dice el niño ?
*MOT:	<como dice este niño> [/] como dice este niño eh (.) como dice ?
*MOT:	no (.) <como dice> [//] como está diciendo ese niño hija .
*MOT:	ho:la [/] (.) hola Irene [% con tono musical] !
*MOT:	como hace con la manina [: manita] ?
*MOT:	hola Irene [% con tono musical] !
*MOT:	así con la manita .
*MOT:	tiene pupa ahí como tu cariño (.) y que hay que decir cuando tiene pupa ?
*MOT:	Irene también tiene pupa (.) donde ?
*MOT:	a_ver (.) buf (.) si <tiene pu:pa> [% con tono musical] (.) uy (.) que pupa !
*MOT:	lo dijo Esther que tenías la pupa (.) si (.) uf (.) que pupa !
*MOT:	y como se le dice a la pupa ?
*MOT:	sana .
*MOT:	y que se le da a la pupa ?
*MOT:	si (.) un besín (.) eso es .
*MOT:	también el nene tiene pupa ?
*MOT:	no (.) el pelirrojo ya no está ahí .
*MOT:	que hay ?
*MOT:	otro pelirrojo quieres buscar ?
*MOT:	busca .
*MOT:	Caracono [=! se rie] (.) es Caracono .
*MOT:	mira (.) y ese ?
*MOT:	otro que ?
*MOT:	otro guapo (.) si (.) otro guapo .
*MOT:	que ?
*MOT:	son [/] son como Irene cuando era pequeñita .
*MOT:	a no [% chasquido con la lengua] .
*MOT:	a (.) no .
*MOT:	Pedrin [/] (.) Pedrin no está (.) donde está Pedrin ?
*MOT:	está allí (.) pero no vino ahora (.) está viendo la televisión Pedrin .
*MOT:	dile que venga (.) hija ?
