*FAT:	Irene tiene diecisiete meses y un día .
*MOT:	que hay ahí letras ?
*MOT:	rico [//] (.) está rico el potito ?
*MOT:	<tonta no> [/] (.) tonta no ?
*MOT:	0 [=! dandole el muñeco que señala] .
*MOT:	que [/] (.) que ?
*MOT:	que guapo (.) eh ?
*MOT:	que quieres ?
*MOT:	el otro muñeco ?
*MOT:	bue:no [=! dandole el otro muñeco] .
*MOT:	ha:m [=! dandole una cucharada de comida] !
*MOT:	tonta no (.) cuci .
*MOT:	oye tienes que comerlo +/?
*MOT:	todo (.) muy bien (.) todo [/] todo [/] todo (.) eh ?
*MOT:	toca aquí [=! poniendole el potito en la trona] .
*MOT:	au [=! gritando] (.) que pasó !
*MOT:	toca Irene a ver que pasa ?
*MOT:	au [=! gritando] !
*MOT:	que está caliente hija ?
*MOT:	eh ?
*MOT:	tonto [/] tonto si (.) está un poco caliente (.) ya te vi yo que ponías la cara +...
*MOT:	está un poco caliente eh (.) vamos a esperar a que enfrie .
*MOT:	a_ver que es eso [=! señalando el dibujo de una banana] ?
*MOT:	ba:na:na@s !
*MOT:	y esto [=! señalando un dibujo de un telefono] ?
*MOT:	que ?
*MOT:	perdón [=! riendose] .
*MOT:	uy !
*MOT:	que es esto ?
*MOT:	banana@s .
*MOT:	y esto otro [=! señalando el dibujo de un telefono] .
*MOT:	<telephone@s (.) por eso lo dices tu así> [% riendo] (.) telephone@s !
*MOT:	a_ver que esto está todavía un poquito caliente .
*MOT:	hum (.) está como caliente (.) Irene (.) no acaba de enfriar .
*MOT:	a_ver sopla !
*MOT:	mas !
*MOT:	a_ver si así enfría (.) aunque está un poco caliente .
*MOT:	a_ver abrelo (.) busca otra cosa .
*MOT:	como <calentó esto> [>] !
*MOT:	ay que (.) el perrin [: perro] (.) sabes como se dice perrin [: perro] en inglés ?
*MOT:	dog@s [: perro] .
*MOT:	eso !
*MOT:	mama que ?
*MOT:	<el potito si> [% riendo] (.) pero es que está caliente .
*MOT:	a_ver (.) ahora está bien .
*MOT:	ha:m [=! dandole una cucharada de potito] !
*MOT:	está bien ahora (.) mm ?
*MOT:	bien (.) bueno .
*MOT:	si (.) mi vida (.) tienes hambre ?
*MOT:	ay (.) que cayó ahí !
*MOT:	<ay (.) ay (.) ay> [<] [/] ay (.) ay (.) ay (.) cayó mira !
*MOT:	ay (.) no (.) ay (.) si <en el pantalón> [% con tono musical] cayó !
*MOT:	en el pantalón &=rie !
*MOT:	anda .
*MOT:	ya va !
*MOT:	ya va !
*MOT:	mm (.) que rico ?
*MOT:	eh ?
*MOT:	está bien !
*MOT:	no (.) tonta no (.) cuci .
