dir path	filename	child age	# participants	partipant type	# adults
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag1900	1;7.	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2001	1;8.01	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2015	1;8.15	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2101	1;9.01	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2115	1;9.15	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2127	1;9.27	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2200	1;10.	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2201	1;10.	3	Mother;Father;Brother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2203	1;10.	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2215	1;10.15	4	Mother;Father;Family_Friend;Brother;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2216	1;10.16	4	Mother;Father;Brother;Sister;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2220	1;10.20	4	Mother;Father;Sister;Family_Friend;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2227	1;10.27	3	Mother;Father;Brother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2300	1;11.	4	Mother;Father;Family_Friend;Brother;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2320	1;11.20	4	Mother;Father;Sister;Family_Friend;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2400	2;0.	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2415	2;0.15	3	Mother;Father;Brother;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2500	2;1.	4	Mother;Father;Sister;Family_Friend;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2515	2;1.15	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2702	2;3.02	7	Mother;Father;Sister;Family_Friend;Grandfather;Grandmother;Uncle;	6
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2710	2;3.10	4	Mother;Father;Family_Friend;Brother;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2810	2;4.10	2	Mother;Family_Friend;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2825	2;4.25	3	Mother;Father;Family_Friend;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag2900	2;5.	3	Mother;Family_Friend;Child;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag3001	2;6.01	2	Mother;Family_Friend;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag3010	2;6.10	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag3020	2;6.20	3	Mother;Father;Family_Friend;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag3126	2;7.26	2	Mother;Family_Friend;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/Aguirre	mag3424	2;10.24	3	Mother;Father;Family_Friend;	3
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/LlinasOjea/Irene	01	0;11.01	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/LlinasOjea/Irene	02	1;1.25	1	Mother;	1
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/LlinasOjea/Irene	03	1;1.25	2	Mother;Father;	2
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//spa/LlinasOjea/Irene	04	1;1.28	1	Mother;	1
