dir path	filename	child age	# participants	partipant type	# adults
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_14f_ornat	2;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_09f_ornat	2;02.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_50	2;8.14	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_03	1;1.25	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_06a_ornat	1;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_05c_ornat	1;10.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_14e_ornat	2;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_07c_ornat	2;0.	3	Mother;Father;Uncle;	3
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_56	2;11.11	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_22	2;10.	3	Mother;Father;Investigator;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_10f_ornat	2;4.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_04b_ornat	1;09.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_01g_ornat	1;7.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_11d_ornat	2;5.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_01a_ornat	1;7.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_21	2;7.	4	Mother;Sister;Father;Investigator;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_13	1;6.16	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_12a_ornat	2;6.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_08f_ornat	2;01.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_12f_ornat	2;6.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_13c_ornat	2;8.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_05f_ornat	1;10.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_14	1;4.	1	Mother;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_07a_ornat	2;0.	3	Mother;Father;Uncle;	3
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_13e_ornat	2;8.	2	Mother;Father;	2
