"V1" "V2"
"1" "ey-ax" "23"
"2" "v-ih" "1"
"3" "aa-r" "487"
"4" "d-ow" "143"
"5" "er-th" "6"
"6" "t-er" "142"
"7" "k-b" "1"
"8" "d-ay" "10"
"9" "m-w" "1"
"10" "n-ao" "5"
"11" "y-uh" "5"
"12" "uh-r" "12"
"13" "hh-aa" "21"
"14" "r-p" "3"
"15" "ao-z" "10"
"16" "k-y" "10"
"17" "ax-ch" "8"
"18" "ah-m" "276"
"19" "g-ah" "4"
"20" "f-uh" "13"
"21" "g-uw" "3"
"22" "ow-d" "1"
"23" "s-ae" "16"
"24" "y-ae" "249"
"25" "f-r" "31"
"26" "aa-d" "36"
"27" "ow-v" "40"
"28" "b-ih" "78"
"29" "r-jh" "2"
"30" "er-k" "14"
"31" "ih-ng" "294"
"32" "m-ey" "94"
"33" "eh-k" "41"
"34" "aa-ng" "2"
"35" "th-aw" "3"
"36" "ey-t" "62"
"37" "b-ey" "49"
"38" "ax-v" "16"
"39" "ae-b" "10"
"40" "ae-jh" "2"
"41" "p-ao" "58"
"42" "s-k" "80"
"43" "ih-hh" "1"
"44" "b-oy" "90"
"45" "jh-ay" "1"
"46" "oy-z" "45"
"47" "ae-s" "24"
"48" "n-t" "594"
"49" "g-aa" "184"
"50" "iy-f" "10"
"51" "ch-er" "10"
"52" "r-b" "1"
"53" "z-er" "9"
"54" "k-w" "43"
"55" "m-aw" "32"
"56" "g-eh" "190"
"57" "w-ax" "34"
"58" "aa-aa" "1"
"59" "n-s" "33"
"60" "s-ax" "110"
"61" "l-ao" "21"
"62" "ch-uw" "5"
"63" "g-er" "90"
"64" "ay-v" "27"
"65" "f-ih" "52"
"66" "d-er" "17"
"67" "t-oy" "53"
"68" "ow-z" "207"
"69" "t-ah" "85"
"70" "p-ax" "153"
"71" "iy-er" "2"
"72" "s-ay" "33"
"73" "ow-iy" "1"
"74" "ng-z" "36"
"75" "t-ey" "98"
"76" "aw-z" "10"
"77" "s-y" "1"
"78" "hh-ih" "591"
"79" "ih-t" "1041"
"80" "k-uh" "32"
"81" "d-n" "32"
"82" "ch-ih" "18"
"83" "v-ax" "34"
"84" "p-eh" "12"
"85" "iy-z" "486"
"86" "k-ae" "423"
"87" "p-er" "55"
"88" "ch-aa" "1"
"89" "er-aw" "8"
"90" "b-ah" "235"
"91" "ow-m" "62"
"92" "eh-v" "34"
"93" "v-oy" "1"
"94" "sh-uh" "20"
"95" "n-th" "1"
"96" "s-aa" "30"
"97" "ay-z" "36"
"98" "ax-r" "4"
"99" "ng-k" "206"
"100" "b-uh" "228"
"101" "y-ax" "13"
"102" "m-ae" "19"
"103" "ow-l" "39"
"104" "aw-dh" "1"
"105" "uw-v" "22"
"106" "t-s" "1170"
"107" "iy-b" "5"
"108" "l-aa" "161"
"109" "ey-b" "73"
"110" "th-y" "2"
"111" "sh-ey" "3"
"112" "iy-m" "19"
"113" "m-er" "31"
"114" "z-d" "11"
"115" "g-ih" "35"
"116" "b-k" "6"
"117" "b-ao" "31"
"118" "ax-k" "22"
"119" "ax-p" "16"
"120" "iy-aw" "8"
"121" "hh-ay" "167"
"122" "iy-sh" "5"
"123" "iy-l" "61"
"124" "oy-r" "1"
"125" "uw-t" "15"
"126" "ay-m" "128"
"127" "k-iy" "56"
"128" "th-d" "6"
"129" "m-ax" "110"
"130" "ng-er" "1"
"131" "uw-s" "21"
"132" "w-ae" "31"
"133" "ay-l" "52"
"134" "f-er" "19"
"135" "ax-jh" "2"
"136" "ao-n" "26"
"137" "r-ey" "45"
"138" "uw-l" "14"
"139" "ih-n" "370"
"140" "z-iy" "35"
"141" "sh-er" "2"
"142" "l-y" "4"
"143" "m-iy" "352"
"144" "ow-p" "69"
"145" "sh-p" "1"
"146" "uw-ax" "79"
"147" "th-ao" "6"
"148" "m-s" "2"
"149" "d-ey" "80"
"150" "dh-z" "3"
"151" "l-uw" "39"
"152" "t-ao" "49"
"153" "ng-ax" "14"
"154" "f-ax" "41"
"155" "g-ay" "5"
"156" "r-aw" "4"
"157" "ih-l" "119"
"158" "f-ey" "39"
"159" "t-uh" "8"
"160" "uw-p" "51"
"161" "aw-th" "18"
