"V1" "V2"
"1" "ao-ih" "1"
"2" "ey-ax" "7"
"3" "v-ih" "18"
"4" "aa-r" "2"
"5" "aw-dh" "6"
"6" "ow-r" "3"
"7" "d-ow" "1"
"8" "er-th" "14"
"9" "ch-ax" "2"
"10" "aa-f" "4"
"11" "r-w" "57"
"12" "ng-ah" "5"
"13" "ng-r" "8"
"14" "aw-k" "8"
"15" "k-b" "15"
"16" "aw-b" "9"
"17" "z-z" "5"
"18" "ax-ae" "7"
"19" "t-z" "1"
"20" "ng-ey" "2"
"21" "d-f" "15"
"22" "aa-ao" "1"
"23" "d-ay" "18"
"24" "oy-dh" "1"
"25" "iy-b" "54"
"26" "ow-ey" "2"
"27" "iy-aw" "36"
"28" "sh-hh" "12"
"29" "m-m" "26"
"30" "th-ah" "1"
"31" "r-p" "34"
"32" "k-y" "123"
"33" "k-f" "7"
"34" "n-hh" "125"
"35" "aa-k" "9"
"36" "g-p" "1"
"37" "ax-ch" "38"
"38" "ey-ao" "6"
"39" "iy-ow" "12"
"40" "ay-r" "7"
"41" "v-d" "5"
"42" "ow-d" "29"
"43" "s-ae" "24"
"44" "t-er" "2"
"45" "t-k" "107"
"46" "jh-dh" "1"
"47" "ow-aw" "3"
"48" "b-ih" "1"
"49" "r-jh" "11"
"50" "er-k" "5"
"51" "m-ey" "4"
"52" "k-p" "9"
"53" "ey-t" "12"
"54" "z-sh" "59"
"55" "z-l" "40"
"56" "aa-iy" "1"
"57" "l-hh" "42"
"58" "m-sh" "2"
"59" "ae-b" "3"
"60" "s-hh" "74"
"61" "er-p" "14"
"62" "p-ao" "1"
"63" "s-k" "37"
"64" "ch-ay" "3"
"65" "ch-n" "2"
"66" "t-aa" "143"
"67" "z-ay" "20"
"68" "ae-s" "1"
"69" "n-t" "53"
"70" "iy-f" "56"
"71" "ch-aw" "3"
"72" "iy-dh" "123"
"73" "r-b" "61"
"74" "d-th" "4"
"75" "z-er" "2"
"76" "k-w" "37"
"77" "ax-aw" "1"
"78" "m-aw" "39"
"79" "p-f" "2"
"80" "ao-w" "2"
"81" "aa-aa" "6"
"82" "th-hh" "1"
"83" "s-ax" "221"
"84" "l-ao" "4"
"85" "aw-m" "41"
"86" "aw-g" "2"
"87" "ay-d" "99"
"88" "g-t" "6"
"89" "sh-y" "8"
"90" "v-aa" "4"
"91" "ey-g" "14"
"92" "ay-v" "1"
"93" "f-ih" "5"
"94" "oy-ay" "1"
"95" "ng-y" "24"
"96" "f-n" "1"
"97" "ow-z" "2"
"98" "f-sh" "5"
"99" "aw-s" "5"
"100" "p-ax" "3"
"101" "ch-dh" "12"
"102" "s-ay" "6"
"103" "iy-eh" "6"
"104" "dh-p" "4"
"105" "t-f" "48"
"106" "n-w" "42"
"107" "z-ey" "2"
"108" "s-y" "48"
"109" "z-r" "42"
"110" "d-y" "139"
"111" "s-g" "41"
"112" "jh-ae" "2"
"113" "oy-g" "4"
"114" "ch-ih" "9"
"115" "ey-ih" "16"
"116" "n-ah" "7"
"117" "ay-jh" "7"
"118" "iy-ey" "1"
"119" "iy-z" "1"
"120" "k-ae" "126"
"121" "iy-v" "3"
"122" "jh-y" "4"
"123" "ng-aa" "11"
"124" "s-jh" "4"
"125" "aa-ih" "2"
"126" "p-t" "3"
"127" "er-v" "1"
"128" "ow-m" "40"
"129" "sh-k" "3"
"130" "uw-w" "220"
"131" "oy-iy" "2"
"132" "z-aw" "6"
"133" "ch-ow" "1"
"134" "n-th" "10"
"135" "aw-jh" "5"
"136" "ay-z" "3"
"137" "ax-r" "57"
"138" "ng-k" "6"
"139" "k-hh" "67"
"140" "iy-g" "95"
"141" "m-ae" "11"
"142" "ow-l" "61"
"143" "ae-y" "11"
"144" "t-s" "83"
"145" "n-ao" "11"
"146" "l-aa" "8"
"147" "ey-b" "28"
"148" "th-y" "1"
"149" "iy-m" "31"
"150" "ch-r" "1"
