	(u'C',)	(u'N',)	(u'O',)	(u'R',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'x',)	(u'y',)
(u'C',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'R',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'a',)	0	0.0	0.0	0.0	1	0.292880921053	0.0239859375	0.444371052632	0.0	0.15351	1	0.22386875	0.1467375	0.239859375	0.383775	1	0.0	0.0274125	0.67160625	0.25585	0.0	0
(u'b',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'd',)	0	0	0	0	0.0876272727273	0	0	0.08415	0	0.0133875	0	0	0	0	0.0050203125	0	0	0	0	0	0	0
(u'e',)	0.0	0.0	0	0.0	0.67473	1	0.37485	1	0.0	0.37485	0.862155	0.138102631579	0.304565625	0.0657631578947	0	0.69615	0.0	0.0133875	0.5831	0	0.0	0
(u'g',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0
(u'i',)	0.0	0	0.0	0	0.80325	1	0.0223125	0.01785	0	0.08925	1	0.312375	0.0966875	0.0223125	0	0	0.0	0.08925	0.0480576923077	0	0.0	0
(u'k',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0
(u'l',)	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0
(u'm',)	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0
(u'n',)	0.0	0	0	0	1	0	0.05131875	0.41055	0.0	0.08211	1	0.478975	0.296508333333	0	0.024633	1	0	0.41055	0.7184625	0.41055	0	0
(u'o',)	0	0	0	0	1	1	0.039046875	1	0.0	0	1	0.312375	0.33840625	0.2603125	0.937125	1	0.0	0.02499	1	0	0	0
(u'p',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'r',)	0	0	0	0	0.37485	1	0.023428125	0.09163	0	0.07497	1	1	0.187425	1	0.04685625	1	0	0	0.6559875	0	0	0
(u's',)	0	0	0	0	0.286875	1	0.223125	0.490875	0	0.06375	1	0.7809375	0.322291666667	0.74375	0.3346875	0.72515625	0.0	0.44625	0.18375	0.223125	0.0	0
(u't',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'u',)	0.0	0	0	0	0.0292090909091	0.1294125	0	0.098175	0.0	0	0.41055	0	0	0.044625	0	0.014503125	0	0	0	0	0	0.0
(u'x',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
(u'y',)	0	0	0	0	0	0.10353	0	0	0	0	0.8211	0	0	0	0	0	0	0	0.2499	0	0	0
