	(u"'",)	(u'3',)	(u'L',)	(u'N',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'c',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'y',)	(u'z',)
(u"'",)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'3',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'L',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'R',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'S',)	0	0	0	0	0	0	0.8715	0	0	0	0.498	0	0	0.06225	0	0	0	0	0.0249	0	0	0	0	0	0	0
(u'a',)	0.0	0	0.0	0	0.487625	0.0	1	0.187548076923	0	0.042402173913	1	0.0812708333333	0.0	1	0.396904069767	0.110823863636	0.177318181818	0.842261363636	1	0.292575	0.0677256944444	0.357591666667	0.1523828125	1	0.0	0
(u'b',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'c',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22825	0	0.22825	0	0
(u'd',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0
(u'e',)	0	0.0	0	0.0	0	0.0	1	0.363125	0.0	0.2905	0.5229	0.14525	0.0	0.5229	1	0.0778125	0.26145	0.376329545455	1	1	0.136171875	0.0840921052632	0.0660227272727	0.59915625	0	0
(u'f',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0
(u'g',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'i',)	0	0	0	0	0	0	1	0	0	0.05446875	1	0	0.0	0	0.953203125	1	0.8715	0.591375	0.16340625	0	0.0837980769231	0.342375	0.155625	0.59915625	0	0.0
(u'k',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'l',)	0	0	0	0	0	0	0.081703125	0.155625	0	0.1245	0.135818181818	0	0	0.0747	0.363125	0	0.18675	0	0.280125	0.0415	0	0.06225	0.31125	0	0	0
(u'm',)	0	0	0	0	0	0	0.0502788461538	0.0172916666667	0	0	0.0249	0	0	0.010375	1	0	0	0	0.1400625	0.06225	0	0.1711875	0	0.1711875	0	0
(u'n',)	0	0.0	0	0	0	0	0.0568369565217	0.155625	0.0	0.031125	0.0574615384615	0	0.0	0.06225	1	0.155625	0.3735	0.591375	0.011205	0.18675	0	0.0570625	0.0155625	0.342375	0	0
(u'o',)	0	0	0	0	0	0	0.911113636364	0.198854166667	0	0.159083333333	0.409071428571	0	0.0	0	1	0.0627960526316	0.715875	0.503763888889	0.53690625	0.47725	0.397708333333	0.13124375	0.0662847222222	1	0	0
(u'p',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0
(u'r',)	0	0	0	0	0.083	0	0.0774666666667	0	0	0	0.1245	0	0	0.0553333333333	0.968333333333	0.2075	0.083	0	0.083	0.498	0	0	0.0377272727273	0.913	0	0
(u's',)	0	0	0	0	0.18675	0	0.43575	0.11671875	0	0.1245	0.2241	0.3735	0.0	0.0659117647059	1	0.31125	0.747	0.8870625	0.240107142857	0.280125	0.93375	0.205425	0.0444642857143	0.22825	0	0
(u't',)	0	0	0	0	0	0.0	0.264090909091	0	0	0	0.177857142857	0.2075	0	0.6225	1	1	1	0	0.155625	0.415	0.259375	0.2853125	0	0.253611111111	0	0
(u'u',)	0	0	0.0	0	0	0.0	0	0	0	0	0.747	0.031125	0	0.031125	1	0.155625	0.18675	0.023655	0	0.18675	0.010375	0.08559375	0.031125	0	0	0
(u'y',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'z',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
