	(u'C',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'x',)	(u'y',)
(u'C',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'L',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0.0	0	0.5219625	0	0	0.0841875	0	0	0.0	0	0.0505125	0	0	0	0	0	0.47145	0	0	0	0
(u'R',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'a',)	0.0	0.0	0	0.0	0.0	1	0.491947826087	0.2245	0.567157894737	0	0.0449	0.0	0.504038709677	0.08082	0.278090322581	0.667085714286	0.5388	0.5388	0.0	0.20387027027	0.288642857143	0.7184	0.1347	0.0
(u'b',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'd',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'e',)	0.0	0.0	0.0	0.0	0.0	0.97433	0.66003	0.138661764706	0.9429	0.0	0.09429	0	0.91147	0.0392875	0.75432	0.231277358491	0	0.75432	0.0	0.0857181818182	0.88396875	1	0.15715	0
(u'f',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'g',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0
(u'i',)	0	0	0.0	0.0	0	0.146515789474	0.9429	0.449	0.0449	0	0	0	0.52084	0.0898	0.3592	0.212254545455	0.0449	0	0.0	0.419066666667	0.1347	0	0	0
(u'k',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'l',)	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0
(u'm',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0
(u'n',)	0	0	0	0	0	0.69595	0	0.0311805555556	0.187083333333	0.0	0.00863461538462	0	0.65105	0.06735	0	0	0.00400892857143	0.149666666667	0.0	1	0.187083333333	0	0	0
(u'o',)	0	0.0	0	0	0.0	1	1	0.3592	0.422588235294	0.0	0.03592	0.0	0.496038095238	0.119733333333	0.273676190476	0.549364705882	0	0.957866666667	0.0	0.193415384615	1	0	0.3592	0.0
(u'p',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'r',)	0	0	0	0	0	0.179987068966	1	0.841875	0.0935416666667	0.0	0.168375	0.0	1	0.2525625	0.6735	1	0.11225	0	0	0	0.841875	1	0	0
(u's',)	0	0	0	0	0	0.347975	0.9821875	0.7015625	0.24402173913	0	0	0.0	1	0.4209375	0.498888888889	1	0.0510227272727	0.748333333333	0	0.9821875	0.161899038462	0.280625	0	0
(u't',)	0	0	0	0	0	0.008699375	0	0	0.00863461538462	0	0	0.0	0	0	0	0.29185	0.00132058823529	0	0.0	0	0	0.011225	0	0
(u'u',)	0.0	0	0	0.0	0.0	0.4523675	0.612885	0	0.486416666667	0	0.0486416666667	0	1	0.437775	0	0.47425625	0	0.23348	0.0	0.680983333333	1	0	0	0.0
(u'x',)	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'y',)	0	0	0	0	0	0.5219625	0	0	0.2245	0	0	0	0.4882875	0	0	0	0	0	0	0	0	0	0	0
