	(u'C',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'x',)	(u'y',)
(u'C',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'L',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0.0	0	0.110366666667	0	0	0.03843125	0	0	0.00295625	0	0.0295625	0	0	0	0	0	0.1419	0	0	0	0
(u'R',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'a',)	0	0.0	0.0	0.0	0.0	1	0.818011764706	0.490282692308	0.519484482759	0.0	0.128761111111	0.1738275	0.616807258065	0.10346875	0.254947	0.579425	1	0.401140384615	0.0	0.19866	0.1810703125	0.450663888889	0.0	0.0
(u'b',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'd',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'e',)	0.0	0.0	0.0	0.0	0.0	0.8041	0.96492	0.126358571429	0.871108333333	0.0	0.201025	0	0.631792857143	0.0628203125	0.631792857143	0.145422340426	0.8041	0.516921428571	0.0	0.0626571428571	0.335041666667	0.7035875	0.0	0.0
(u'f',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0
(u'g',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'i',)	0	0	0.0	0.0	0	0.2897125	0.5676	0.4552625	0.116332432432	0	0	0	1	0.2069375	0.607016666667	0.469058333333	0.0301	1	0.0	0.49665	0.10346875	0	0.0	0
(u'k',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0
(u'l',)	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0	0
(u'm',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0
(u'n',)	0	0	0	0	0	0.910525	0.78045	0.110063461538	0.30745	0.0	0.0144527777778	0.1951125	1	0.0929107142857	0	0	0.00703108108108	0.5853375	0.0	0.78045	0.16259375	0	0	0
(u'o',)	0	0.0	0	0.0	0.0	1	1	0.699153125	0.881356666667	0	0.20339	1	0.932204166667	0.2542375	0.799032142857	0.375829347826	0	0.915255	0.0	0.225988888889	0.63559375	0	0.0	0.0
(u'p',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'r',)	0	0	0	0	0	0.0473	1	0.650375	0.069875	0	0.11825	0.0126696428571	0.9755625	0.295625	0	0	0.00985416666667	0	0	0	0.1478125	0	0	0
(u's',)	0	0	0	0	0	0.25912173913	1	1	0.172940625	0.0	0	0.025542	1	0.532125	1	1	0.02838	0.4789125	0	1	0.08514	0.49665	0	0
(u't',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'u',)	0	0	0	0.0	0	0.946	0.810857142857	0	0.768625	0	0.473	0.7095	1	1	0	0.5025625	0	0.7095	0	1	1	0	0	0.0
(u'x',)	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'y',)	0	0	0	0	0	0.551833333333	0	0	0.512416666667	0	0	0	0.48778125	0	0	1	0	0	0	0	0	0.413875	0	0
