	(u"'",)	(u'3',)	(u'C',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'c',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'x',)	(u'y',)	(u'z',)
(u"'",)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
(u'3',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'C',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'L',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0	0	0.0	0	0	0.207475	0	0	0	0.110975	0	0	0.00386	0	0.02895	0	0	0	0	0	0.1158	0	0	0	0	0
(u'R',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'S',)	0	0	0	0	0	0	0	0	0.622425	0	0	0	0	0	0	0.02895	0	0	0	0	0.0165428571429	0	0	0	0	0	0	0	0
(u'a',)	0.0	0	0	0.0	0.0	0.0	0.08299	0.0	1	0.366132352941	0	0.0565840909091	0.454469047619	0.138316666667	0.0	0.0754454545455	0.270619565217	0.1037375	0.306702173913	0.574546153846	0	0.58093	0.0	0.262073684211	0.08299	1	0.0	0.0	0
(u'b',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'd',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'e',)	0	0.0	0.0	0.0	0	0.0	0.06176	0.0	1	0.772	0.0	0.0487578947368	0.645672727273	0.205866666667	0.0	0.12352	0.9264	0.0772	0.437466666667	0.2316	1	0.360266666667	0.0	0.0712615384615	0.10808	0.772	0.0	0	0
(u'f',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'g',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
(u'i',)	0	0	0	0	0.0	0	0	0	1	0	0	0.120625	0.426826923077	0	0	0	1	1	1	0.72375	0.160833333333	1	0.0	0.4825	0.140729166667	0	0	0	0.0
(u'k',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'l',)	0	0	0	0	0	0	0	0	0.0212794871795	0.14475	0	0.0579	0.08878	0	0	0.0128666666667	0.0827142857143	0	0.109366666667	0	0.00514666666667	0.06755	0	0.0579	0.1351	0	0	0	0
(u'm',)	0	0	0	0	0	0	0	0	0.0436789473684	0.0965	0	0	0.0341461538462	0	0	0.00203157894737	0	0	0	0	0.0386	0.06755	0	0.2316	0	0.0965	0	0	0
(u'n',)	0	0.0	0	0	0	0	0	0	0.08299	0	0	0.0217125	0.0554875	0.0579	0.0	0.02895	0.8685	0.03474	0	0	0.00413571428571	0	0	0.1737	0.04053	0	0	0	0
(u'o',)	0	0	0	0	0	0.0	0.0611166666667	0	1	1	0	0.55005	0.766736363636	0	0.0	0.7334	0.91675	0.18335	1	0.507738461538	0.7334	0.427816666667	0.0	0.209542857143	0.25669	1	0	0	0
(u'p',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'r',)	0	0	0	0	0	0	0	0	0.0631445652174	0	0	0	0.097103125	0	0	0.0193	0	0.20265	0.574175	0	0.06755	0.47285	0	0	0	0	0	0	0
(u's',)	0	0	0	0	0	0	0.14475	0	0.444589285714	0.361875	0	0	0.114801724138	0	0.0	0.01809375	0	0.2895	1	0.8685	0.0413571428571	1	0	0.579	0.0596029411765	0.4825	0	0	0
(u't',)	0	0	0	0	0	0	0	0	0.0987976190476	0	0	0	0.100886363636	0.193	0	0.04825	0	0	1	0	0.0257333333333	0.6755	0.0	0.2895	0	0.193	0	0	0
(u'u',)	0	0	0	0.0	0	0.0	0	0.0	0	1	0	0	1	0.14475	0.0	0.072375	1	0.43425	0	0.236863636364	0	0	0.0	0.8685	1	0	0	0.0	0
(u'x',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'y',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8685	0	0.49215	0	0	0	0	0	0	0.2895	0	0	0
(u'z',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
