	(u"'",)	(u'3',)	(u'L',)	(u'N',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'c',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'y',)	(u'z',)
(u"'",)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'3',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'L',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'R',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'S',)	0	0	0	0	0	0	0.140817857143	0	0	0	0.160075	0	0	0.01685	0	0	0	0	0.022115625	0	0	0	0	0.2148375	0	0
(u'a',)	0.0	0.0	0.0	0	0.171308333333	0.0	1	0.420484090909	0	0.151154411765	0.813714583333	0.12848125	0.171308333333	0.513925	0.480768548387	0.116047580645	0.64240625	0.302308823529	0.599579166667	0.719495	0.0	0.151154411765	0.342616666667	0.8736725	0.0	0
(u'b',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'c',)	0	0	0	0	0	0	0	0	0	0	0.0533583333333	0	0	0	0	0	0	0	0	0	0	0.0210625	0	0	0	0
(u'd',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'e',)	0	0.0	0	0.0	0.1221625	0.0	1	0.732975	0.0	0	0.386847916667	0.09773	0.732975	0.09773	1	0.0462236486486	0.3817578125	0.135736111111	0.570091666667	0.42756875	0.0	0.0244325	0.111056818182	0.593360714286	0	0
(u'f',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'g',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'i',)	0	0	0	0	0	0	0.4723265625	0	0	0.24221875	0.736345	0	0.581325	0	0.936579166667	1	1	0.38755	0.193775	0.6782125	0.0	0.0745288461538	0.276821428571	0	0	0.0
(u'k',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'l',)	0.0	0	0	0	0	0	0.0142858695652	0.075825	0	0.08425	0.0291045454545	0	0	0.00561666666667	0.0814416666667	0	0.05265625	0.1685	0.0107227272727	0.0294875	0	0.0140416666667	0.0187222222222	0	0	0
(u'm',)	0.0	0	0	0	0	0	0.0234696428571	0.05055	0	0.08425	0.0213433333333	0	0	0.00124814814815	0	0	0	0	0.02359	0.11795	0	0.08425	0.1685	0.143225	0	0
(u'n',)	0	0.0	0	0	0	0	0.0312928571429	0	0	0.0280833333333	0.032015	0	0.025275	0.0337	0.48865	0	0.42125	0	0.00655277777778	0.11795	0	0.0210625	0.0140416666667	0	0	0
(u'o',)	0	0	0	0	0	0.0	0.985725	0.51181875	0.0	0.28434375	0.864405	0	0	0	0.942396428571	0.0838065789474	0.9478125	0.45495	0.530775	0.39808125	0.0	0.05686875	0.25275	1	0	0
(u'p',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'r',)	0	0	0	0	0	0	0.05055	0	0	0	0.0914714285714	0	0	0.0112333333333	0	0.2359	0.561666666667	0	0.09436	0.4718	0	0	0.674	1	0	0
(u's',)	0	0	0	0	0.0674	0	0.65715	0.36396	0	1	0.167034782609	0.4044	1	0.0367636363636	1	0.4718	1	1	0.2359	0.4718	0	0.25275	0.106421052632	0.85935	0	0
(u't',)	0	0	0	0	0	0.0	0.1642875	0.9099	0	0	0.0662379310345	0.2022	0	0.0674	1	0	1	0	0.0544384615385	0.7077	0.0	0.1011	1	0.429675	0	0
(u'u',)	0	0	0.0	0	0	0.0	1	0.45495	0	0.08425	0.32015	0.05055	0.15165	0.0126375	0	0.176925	0	0.0240714285714	0	0	0.0	0.08425	0.25275	0	0	0
(u'y',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'z',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
