	(u"'",)	(u'3',)	(u'L',)	(u'N',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'c',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'z',)	(u'~',)
(u"'",)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'3',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'L',)	0	0	0	0	0	0	0.41135	0	0	0	0.14289	0	0	0	1	0	0	0	0.0811875	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0	0	0	0	0	0.23815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'R',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'S',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'a',)	0.0	0.0	0.0	0.0	0.0	0.0	1	0.237717	0.0	1	1	0.9904875	0.188664285714	1	0.59590304878	0.143548913043	1	0.253971153846	0.471660714286	0.240118181818	0.0	0.26413	0.228574038462	0.577784375	0	0.0
(u'b',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0
(u'c',)	0	0	0	0	0	0	0.8227	0	0	0	0	0	0	0	0	0	0.49795	0	0	0	0	0	0	0	0	0.0
(u'd',)	0	0	0	0	0	0	0.205675	0	0	0	0.0366384615385	0	0	0.0144333333333	0	0	0	0	0	0	0	0	0	0	0	0
(u'e',)	0	0.0	0.0	0	0.0	0.0	1	0.422175	0	1	1	0.230277272727	0.2110875	0.67548	1	0.06596484375	0.404584375	0.383795454545	1	0.422175	0.0	0.0429330508475	0.172707954545	0.197015	0	0
(u'f',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0
(u'g',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'i',)	0	0	0.0	0	0	0	0.489702380952	0.811875	0.0	0	1	0	0.0773214285714	0	1	0.451041666667	1	0.246022727273	0.193303571429	0.270625	0.0	0.231964285714	0.4059375	0.236796875	0.0	0
(u'k',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'l',)	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0
(u'm',)	0.0	0	0	0	0	0	0.3085125	0.3897	0	0	0.14289	0	0	0.0451826086957	1	0	0	0	0.0590454545455	0.2598	0	0.7794	0.58455	0.45465	0	0
(u'n',)	0	0.0	0	0	0	0	0.0357695652174	0	0.0	0.097425	0.0396916666667	0	0.02165	0.0577333333333	0.0667541666667	0	0	0.2165	0.00832692307692	0.0433	0	0.06495	0.03897	0.15155	0	0
(u'o',)	0	0	0	0	0.0	0	0.5141875	0.36534375	0.0	0.487125	0.8930625	0.32475	0	0	1	0.0312259615385	0.248975	0.270625	0.4059375	0.162375	0.0	0.0423586956522	0.7306875	0.5683125	0	0
(u'p',)	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0
(u'r',)	0	0	0	0	0	0	0.077128125	0	0	0.876825	0.0931891304348	0	0	0.07794	1	0.2435625	1	0.97425	0.162375	0.3897	0	0.292275	0.876825	0.227325	0	0
(u's',)	0.0	0	0	0	0.0	0	0.26827173913	0.2435625	0	0.292275	0.2976875	0.2435625	0.162375	0.185571428571	0.858267857143	0.4059375	1	1	0.1353125	0.1299	0	0.97425	0.07306875	0.142078125	0	0.0
(u't',)	0	0.0	0	0	0	0.0	0.137116666667	0.139178571429	0	0.2435625	0.14884375	0.6495	0	0.1732	1	0.270625	0.49795	0	0.06765625	0.433	0.0	0.32475	0	0.0841944444444	0	0
(u'u',)	0	0	0.0	0	0	0.0	0.8227	0	0	0.3897	0.119075	0.2598	0.0288666666667	0.03464	1	0.0270625	0.9959	0.0288666666667	0.2165	0	0.0	0.06495	0.19485	0	0	0
(u'z',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'~',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0
