	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0.07272	0	0	0	0	0	0	0	0	0	0.0	0.13635	0	0.0	0.00865714285714	0	0	0	0	0.0	0	0	0.0808	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0	0	0.0346285714286	0	0	0	0	0	0	0.606	0	0	0	0	0.0634857142857	0	0.00538666666667	0	0	0	0	0	0	0	0.006464	0	0	0	0.0	0	0.5252	0.0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0	0.5252	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0202	0.0	0	0	0.107733333333	0	0.0808	0.0202	0.00425263157895	0	0	0	0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'aw',)	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1616	0	0	0	0	0	0.0202	0	0	0	0	0	0.0808	0	0.0115428571429	0	0	0	0	0	0	0
(u'ax',)	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.04848	0.5252	0	0	0	0	0	0	0	0	0.0	0	0.0740666666667	0.0	0	0	0	0	0	0	0.0538666666667	0	0.0538666666667	0.0	0	0	0	0	0	0.0
(u'b',)	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.0	0.0101	0.0	0.0	0.0	0.0808	0	0.2424	0	0	0.1313	0	0	0	0	0	0.303	0.0202	0.0	0	0	0	0	0.0202	0	0.3232	0	0	0.0	0.0808	0	0.0808	0	0	0.0	0	0	0.2626	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0
(u'ey',)	0	0	0	0	0	0	0	0.8484	0	0.8484	0	0	0	0	0	0	0.707	1	0	0	0.2121	0	0	0.2828	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(u'f',)	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.0	0.5757	0	0	0.0	0.7676	0.47975	1	0	0.28785	1	0	0	0	0	0	0.9595	0	0	0	0.34542	1	0.0	0.1919	0	0	0	1	0	0	0	0.1919	0	0	0	0	1	0	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.0	0.0231705882353	0.0	0	0	0.175066666667	0	0	0	0	0.426725	0.0	0	0.01313	0	0	0	0.1313	0	0	1	1	0.0	0	0	1	0	0	0	0.1313	0	0	0	0	0	0	1	0	0
(u'l',)	0.0	0	0	0	0	0.0202	0.202	0.4848	0	0.2424	0.5252	0.0	0	0.0202	0	0	0	0.1616	0.0	0	0.1212	0.4444	0.0	0	0	0.0923428571429	0	0.3232	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'm',)	0.0	0.2727	0.0	0.0	0.0	0.0909	0.303	0	0	0.5454	0	0	0	0	0	0	0	0.3636	0.0	0	0	0.9999	0	0	0	0	0	0	0.0	0.0606	0	0	0	0	0	0	0	0	0
(u'n',)	0.0	0.3636	0.0	0	0.0	0.09696	0.606	0	0	0.3636	0.225085714286	0	0	0	0	0	0	0.9696	0.0	0	0	0	0	0	0	1	0	0	0	0.4848	0	0.04848	0	0	0	0	0	0.1313	0
(u'ng',)	0	0	0	0	0	0	0	0.1212	0	0	0	0	0	0	0	0.0505	0	0	0	0	0.022725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
(u'ow',)	0	0.31815	0	0	0	0	1	1	0	0.4242	0	0	0	0	0	0	0	0	0	0.0	0.19089	1	0.0	0.0707	0	1	0	0.4242	0	0	0	0	0	0	0	0.0	1	1	0
