	(u'0',)	(u'3',)	(u'7',)	(u'8',)	(u'E',)	(u'J',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'j',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'w',)	(u'x',)	(u'z',)	(u'\u200d',)
(u'0',)	0	0	0	0	0	0	0.0195	0	0	0	0	0	0	0	0	0	0	0	0.0	0.84825	0	0	0.351	0	0	0	0.2535	0	0	0	0	0.0	0
(u'3',)	0	0.2145	0.0	0	0.32175	0	0	0	0	0	0	0	1	0	0.697125	0.0715	0.0	0.1287	0.0	1	0	0.429	1	0.53625	0.375375	0.0	0.1161875	0.1365	0	0.0	0	0	0
(u'7',)	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'8',)	0	0	0	0.0	0	0	0	0	0	0	0	0.141375	0	0	0.063375	0	0	0.0117	0	0	0.02925	0	0	0	0	0	0.12675	0	0	0	0	0	0
(u'E',)	0	0	0	0	0.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234	0.0891428571429	0.1404	0	0	0.0	0.0338	0.1365	0	0	0	0	0
(u'J',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'L',)	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0	0.014625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273	0	0.0	0	0	0
(u'R',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0
(u'S',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.08775	0	0	0	0	0	0.14625	0	0	0	0	0	0	0	0	0
(u'a',)	0	1	0	0.0	0.45825	0	0.15275	0.0	0	0.0	0.0	1	0.404338235294	0.05499	0.372328125	0.15275	0.0	0.2115	0.0	0.28275	0.101833333333	0.318782608696	0.687375	0	0.534625	0.0	0.313539473684	0.1833	1	0.0	0.0	0	0
(u'b',)	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0
(u'd',)	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0
(u'e',)	0	0	0	0.0	0	0	0.156	0	0	0.0	0	0.646285714286	0.468	0.0246315789474	0.676	0	0.0	0	0	0.502666666667	0.0668571428571	1	0.1755	0	0.273	0.0	0.078	0.242666666667	1	0	0.0	0	0
(u'f',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'g',)	0	0	0	0	0	0	0	0	0	0	0	0.02175	0	0	0.0316875	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.078	0	0	0	0
(u'i',)	0	0	0.0	0	0.7605	0	0	0.0	0	0	0	0.45946875	0	0.1521	0.299590909091	0	0	0	0	1	0.7605	1	0.9126	0.21125	1	0.0	0.54925	0.29575	1	0	0	0	0
(u'j',)	0	0.234	0	0	0	0	0	0	0	0	0.0	0	0	0.08775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.0078	0.00537931034483	0	0	0	0	0	0	0	0	0	0.0297631578947	0	0	0.0133421052632	0	0	0.00531818181818	0	0	0	0	0	0.00513157894737	0	0	0	0	0.156	0	0	0	0
(u'l',)	0.039	0	0	0	0.014625	0	0	0	0	0	0	0.0145	0.14625	0.0585	0.2535	0	0	0.039	0	0.0807857142857	0	0.104	0	0.00696428571429	0.06825	0	0.063375	0.273	0	0	0	0	0
(u'm',)	0.039	0.026	0	0	0.0195	0	0.0195	0	0	0	0	0.028275	0.14625	0	0.0845	0	0	0.00615789473684	0	0	0	0	0	0.04875	0.06825	0	0.2535	0	0.156	0	0	0	0
