	(u'0',)	(u'3',)	(u'7',)	(u'E',)	(u'J',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'j',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'w',)	(u'z',)	(u'\u200d',)
(u'0',)	0	0	0	0	0	0	0	0	0	0	0.6555	0	0	0	0	0.057	0	0	0.32775	0.019	0.513	0.3705	0.114	0	0	0	0.513	0	0	0.0	0
(u'3',)	0	0.209	0	0.627	0	0.0	0	0	0.0	0	1	0.57475	0	0	0.0627	0	0	0.0	1	0.1045	0.627	0.67925	0.209	0.15675	0	0.0464444444444	0.235125	0.1045	0.0	0	0
(u'7',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'E',)	0	0	0	0	0.0	0	0	0	0	0	1	1	0	0	0.399	0.0886666666667	0	0.0	1	0.019	0.266	0.43225	0	0	0.0	0.03325	1	0	0	0	0
(u'J',)	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'L',)	0.0	0	0	0.057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
(u'R',)	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0	0
(u'S',)	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'a',)	0.0	0	0	0.439714285714	0.0	0.0	0.0	0	0.0	0.0	0.7866	0.705375	0.109928571429	0	0.513	0.0394615384615	0	0.0	1	0.0603529411765	0.279818181818	0.303136363636	1	0.2565	0.0	0.076	0.40147826087	0.513	0.0	0	0
(u'b',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'd',)	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0
(u'e',)	0	0	0	0	0	0	0	0	0	0	0	0.627	0	0	0	0	0	0	0.2622	0	0	0.3705	0	0	0.0	0.0095	0	0	0	0	0
(u'f',)	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'g',)	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
(u'i',)	0	0	0.0	0.399	0.0	0.0	0	0	0	0	0.2185	1	0	0.0415625	0	0.133	0	0	0	0.133	0.399	0.0278870967742	0	0.049875	0.0	0.266	0.29925	0.0665	0	0.0	0
(u'j',)	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.0	0.000678571428571	0	0.0114	0	0	0	0	0	0	0.0182083333333	0	0	0.0095	0	0	0.00087962962963	0	0	0	0.171	0	0.00211111111111	0	0	0	0	0.0019	0	0	0
(u'l',)	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0	0	0	0
(u'm',)	0	0.02375	0	0.07125	0	0	0	0	0	0	0.0202314814815	0	0.1425	0	0	0	0.0107954545455	0	1	0.095	0	0	0.00730769230769	0	0	0	0.4275	0.02375	0	0	0
(u'n',)	0	0	0	0.2508	0.0	0	0	0.0	0	0	0.369769230769	0	0.627	0	0	0	0.5225	0	0.534111111111	0	0	1	0.044	0.3135	0.0	0.418	1	0.209	0	0	0
(u'o',)	0	0	0	0	0	0	0	0	0.0	0	0.0728333333333	0.0348333333333	0.0095	0.02375	0.0285	0	0	0	0.0397272727273	0.00158333333333	0.009	0.06175	0	0.0095	0.0	0.00126666666667	0.171	0	0	0.0	0
(u'p',)	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0
(u'r',)	0.0	0	0	0.0855	0	0	0	0	0	0	0.1311	0	0	0.0890625	0	0	0.2375	0.0	0	0.285	0.171	0	0.57	0	0	0	0	0	0	0	0
(u's',)	0	0.741	0	1	0	0	0	0	0.0	0	0.28405	0.741	1	0	0.55575	0.741	0.3705	0	1	0.3705	0.4446	1	1	0.55575	0	0	0.20840625	0.0463125	0	0	0
(u't',)	0	0.01425	0	0	0.0	0	0	0	0	0	0.02185	0.1254	0.0855	0	0	0	0.011875	0	1	0.057	0.2565	0	0.00345454545455	0	0.0	0.114	0	0.0057	0	0	0.0
(u'u',)	0	0	0	0	0	0.0	0	0	0	0	0.06555	0.1254	0.0855	0	0.0855	0.057	0	0	0.2622	0	0	0.0529285714286	0	0	0	0.114	0.513	0	0	0	0
(u'w',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.038	0	0	0	0	0
(u'z',)	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
