	(u'0',)	(u'3',)	(u'8',)	(u'E',)	(u'J',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'j',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'w',)	(u'x',)	(u'z',)	(u'\u200d',)
(u'0',)	0	0	0	0	0	0.0	0	0	0.0	0	0	0.05925	0	0	0	0	0	0	0	0.148125	0	0.474	0	0	0.0	0.08146875	0	0	0	0	0.0	0
(u'3',)	0	0.131666666667	0	0.1185	0	0	0	0	0	0	0.61225	0.105333333333	0.474	0	0.0	0	0.0263333333333	0.0	1	0.395	0.869	0.210666666667	1	0.1185	0.0	0.0869	0.140444444444	0	0.0	0	0	0
(u'8',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'E',)	0	0.395	0	0	0	0	0.0	0	0	0	0.816333333333	0	0	0	0	0	0.1185	0.0	1	0.131666666667	0.869	0.632	1	0.1185	0	0.0724166666667	0.2528	0	0	0	0	0
(u'J',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'L',)	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'N',)	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'R',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'S',)	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'a',)	0	1	0	0	0	0.0	0	0	0	0.0	0.87245625	0.160821428571	0.22515	0.259788461538	0.0	0.0	0.0804107142857	0.0	0.549473214286	0.201026785714	0.589678571429	1	1	0.08443125	0.0	0.213504310345	0.37525	0	0	0.070359375	0	0
(u'b',)	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0
(u'd',)	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0.0
(u'e',)	0	0.5925	0.0	0	0	0.0	0	0	0	0	0.4591875	0.158	0.0507857142857	0.237	0	0.0	0	0	0.441681818182	0.0164583333333	0.2607	0.210666666667	0.444375	0.3555	0.0	0.0566739130435	0	0	0	0.05925	0	0
(u'f',)	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'g',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'i',)	0	1	0	0.799875	0	0	0.0	0	0	0	0.211932692308	0.53325	0.228535714286	0.266625	0	0.0	0	0	1	1	1	0.53325	1	0	0.0	0.24440625	0.193909090909	1	0	0.266625	0	0
(u'j',)	0	0	0	0.237	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.539833333333	0	0	0	0.131666666667	0	0	0	0	0	0	0	0	0
(u'k',)	0	0.0011755952381	0	0	0	0	0	0	0	0	0.0218660714286	0	0	0.00311842105263	0	0	0.00095564516129	0	0	0	0	0	0.00871323529412	0	0	0	0	0.049375	0	0	0	0
(u'l',)	0.0	0	0	0.01185	0	0.0	0	0	0	0	0.0136055555556	0.01975	0	0.1185	0	0	0	0	0.80975	0	0	0	0.0423214285714	0.05925	0.0	0.02715625	0.0451428571429	0	0	0	0	0
(u'm',)	0.0	0	0	0	0	0	0	0	0	0	0.109330357143	0.1975	0	0.0148125	0	0	0.00673295454545	0	0	0.0822916666667	1	0	0.105803571429	0	0	0	0	0.246875	0	0	0	0
(u'n',)	0.0	0.0740625	0.0	0.0444375	0	0.0	0	0	0	0	0.102041666667	0	0	0.17775	0.0	0.0	0.017775	0	0	0	0.65175	0.474	0.0170913461538	0	0.0	0.108625	0.1185	0	0	0	0	0
(u'o',)	0.0	1	0	0	0	0	0	0	0.0	0	1	0.158	0.711	0.203142857143	0	0.0	0.1185	0.0	1	0.079	0.4345	0.344727272727	0	0.237	0.0	0.869	0.316	0	0	0	0.0	0
(u'p',)	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0
