	(u'0',)	(u'3',)	(u'7',)	(u'8',)	(u'E',)	(u'J',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'j',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'w',)	(u'x',)	(u'z',)	(u'\u200d',)
(u'0',)	0	0.1005	0	0	0	0	0	0	0	0	0	0.85425	0.1005	0	0	0	0.0	0	0	1	0.15075	0	0.1005	0.1005	0	0.0	0.05025	0.9045	0	0	0	0.0	0
(u'3',)	0	0.0603	0.0	0	0.05427	0	0.0	0	0	0.27135	0	1	0.15075	0.3618	0.81405	0.03015	0	0.1809	0.0	0	0.05427	0	0.0986727272727	0	0	0.0	0.0129214285714	0.116292857143	0	0.0	0	0	0
(u'7',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'8',)	0	0	0	0	0	0	0	0	0	0	0	0.6834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'E',)	0	0.1407	0	0	0.21105	0.21105	0	0.07035	0	0	0	1	0	0	0	0.1407	0	0	0	0.668325	0.02345	0.63315	0.16884	0.4221	0	0.0	0.00781666666667	0.4221	0	0	0	0	0
(u'J',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'L',)	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'R',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0
(u'S',)	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'a',)	0	1	0	0	1	1	0.0	0.306525	0	0.22989375	0.0	0.906247826087	0.306525	0.188630769231	0.501586363636	0.306525	0.0	0.49044	0.0	0.831996428571	0.114946875	0.4087	1	1	0.3576125	0.0	0.061305	0.61305	1	0.0	0	0.0	0
(u'b',)	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0
(u'd',)	0.01005	0.0201	0	0	0	0	0	0	0	0	0	0.0427125	0	0	0.01130625	0	0	0.00618461538462	0	0	0	0	0	0.01206	0	0	0	0	0.0175875	0	0	0	0
(u'e',)	0	0.065325	0	0.0	0	0	0.0	0	0	0	0	0.74035	0.65325	0.13065	1	0	0.0	0.5226	0	0.551633333333	0.0326625	0.47034	0.0922235294118	0.7839	0.91455	0.0	0.0145166666667	0.587925	0	0	0.0	0	0
(u'f',)	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0
(u'g',)	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0
(u'i',)	0	0	0.0	0	0.226125	0	0.0	0	0	0.45225	0	0.465954545455	0.75375	0.0548181818182	0.104365384615	0.3015	0.0	1	0	0.818357142857	0.45225	1	0.129214285714	1	0	0.0	0.0430714285714	0.15075	1	0.0	0.0	0.0	0
(u'j',)	0	0	0	0	0.1809	0	0	0	0	0	0.0	1	0	0	0	0	0.0	0	0	0.45828	0	0	0.7236	0.7236	0	0	0	0	0	0	0	0	0
(u'k',)	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0
