	(u'0',)	(u'3',)	(u'7',)	(u'E',)	(u'J',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'j',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'w',)	(u'z',)	(u'\u200d',)
(u'0',)	0	0	0	0	0	0.0	0	0	0	0	1	0	0.082425	0	0.247275	0.0	0	0.0	0.76243125	0.1236375	1	0.0875765625	0	0.2198	0.0	0.2060625	0.16485	0	0	0.0	0
(u'3',)	0	0.442216666667	0.0	0.30615	0	0.0	0	0	0.0	0	1	1	1	0.459225	0.153075	0.0	0.30615	0.0	1	0.30615	0.91845	0.30615	1	0.6123	0.0	0.109339285714	0.109339285714	0	0.0	0	0
(u'7',)	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0
(u'E',)	0	1	0	0.82425	0	0.0	0	0	0	0	1	0	0.6594	0.49455	0	0.0	0	0	1	0.049455	0.19782	0.16485	0	0.3297	0.0	0.0499545454545	0.3297	0	0.0	0	0
(u'J',)	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'L',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
(u'N',)	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0.04415625	0	0	0	0	0	0	0	0.247275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176625	0	0.0	0	0
(u'R',)	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0
(u'S',)	0	0	0	0	0	0	0	0.0	0	0	1	0	0	0	0	0	0.176625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'a',)	0.205221428571	1	0	0.399041666667	0	0.0	0	0	0.0	0.0	1	0.25139625	0.1197125	0	0.165755769231	0.0	0.89784375	0.0	0.492151388889	0.130595454545	0.497267307692	0.642667105263	1	0.47885	0.0	0.378039473684	0.448921875	1	0.0	0	0
(u'b',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
(u'd',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0.0
(u'e',)	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0
(u'f',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'g',)	0	0	0	0.058875	0	0	0	0	0	0	0.0555107142857	0	0	0	0	0	0.019625	0	0	0	0	0	0.082425	0	0.0	0	0	0	0	0	0
(u'i',)	0	1	0.0	0.5004375	1	0	0.0	0	0	0.0	0.388575	0.35030625	0.200175	0	0.600525	0.0	0	0	1	1	1	0.3402975	0	1	0.0	0.200175	0.25021875	0	0	0	0
(u'j',)	0	0.459225	0	0.176625	0	0	0	0	0	0.0	0.5828625	0	0.035325	0	0	0	0	0	0.435675	0	0	0	0	0	0	0	0.35325	0	0	0	0
(u'k',)	0.007065	0.00765375	0	0.035325	0	0	0	0	0	0	0.0416330357143	0	0	0	0	0	0.01471875	0	0	0.105975	0	0	0.0176625	0	0.0	0.07065	0.35325	0	0	0	0
(u'l',)	0.035325	0.2296125	0	0.022078125	0	0	0	0	0	0	0.0233145	0.082425	0.1413	0	0	0	0.0176625	0	0.261405	0	0.21195	0	0	0.07065	0	0.0883125	0.0294375	0	0	0	0
(u'm',)	0.0471	0.0765375	0	0.0504642857143	0	0.0	0	0	0	0	0.137144117647	0.082425	0.1413	0	0	0	0.0185921052632	0	1	0.105975	0	0	0.09891	0.5652	0	0.7065	0.7065	0.247275	0	0	0
(u'n',)	0.21195	0.34441875	0	0.0756964285714	0.13246875	0.0	0	0.0	0.0	0	0.139887	0.741825	0.21195	0	0	0.0	0	0.0	0.490134375	0.63585	0	0	0.0195217105263	0.8478	0.0	0.2649375	0.2649375	0	0	0	0
(u'o',)	0	0.357175	0.0	0.412125	0	0	0	0	0.0	0	1	0.2884875	0.05495	0	0.1236375	0	0.412125	0.0	1	0.03297	0.21195	0.1401225	0.2884875	0.06594	0.0	0.11775	0.03925	0	0	0.0	0
(u'p',)	0.00336428571429	0.0153075	0	0.011775	0	0	0	0	0	0	0.043175	0	0	0.035325	0	0	0.058875	0	0	0.07065	0	0	0.00484852941176	0	0.0	0.02355	0	0.082425	0.0	0	0
(u'r',)	0.00294375	0.0153075	0	0.00327083333333	0	0	0	0	0	0	0.0080953125	0	0	0	0	0	0.011775	0	0	0	0	0	0.027475	0	0	0	0.0168214285714	0	0	0	0
(u's',)	0.066725	0.2602275	0	0.111208333333	0	0	0	0	0.0	0	0.388575	0.2335375	0.40035	0	0	0.0	0.0714910714286	0	1	0.200175	1	1	0.280245	0.13345	0	0.5004375	0.0870326086957	0.467075	0	0	0
(u't',)	0.0437357142857	0.104735526316	0	0.109339285714	0	0	0	0	0	0	0.09714375	0.214305	0.30615	0	0.153075	0	0.109339285714	0	1	0.459225	1	0	0.214305	1	0.0	0.30615	1	0.5357625	0	0	0.0
(u'u',)	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0
(u'w',)	0	0.153075	0	0.11775	0	0	0	0	0	0	0	0	0	0	0.07065	0	0	0	0	0.1413	0	0	0	0	0.0	0.11775	0	0	0	0	0
(u'z',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'\u200d',)	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
