	(u'0',)	(u'3',)	(u'5',)	(u'7',)	(u'E',)	(u'J',)	(u'L',)	(u'N',)	(u'O',)	(u'R',)	(u'S',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'f',)	(u'g',)	(u'i',)	(u'j',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'w',)	(u'z',)	(u'\u200d',)
(u'0',)	0	0	0	0	0	0	0	0	0	0	0	0.40014	0	0	0	0.1539	0.0513	0	0	0.448875	0	0.53865	0.0366428571429	0.4104	0.3078	0	0.12825	0.5643	0	0	0.0	0
(u'3',)	0	0.2543625	0.0	0	0.8721	0.072675	0	0	0	0.072675	0.0	1	0.3270375	0	0	0.1090125	0.14535	0.05814	0	1	0.14535	0.33915	0.24225	0.5814	0.2907	0.0	0.0234435483871	0.10659	0.8721	0.0	0	0
(u'5',)	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0
(u'7',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'E',)	0	0.4788	0.0	0	0	0.2052	0	0	0	0	0.0	1	0.4617	0	0	0.6156	0.1368	0	0	1	0.0279818181818	0.28728	0.146571428571	0	0	0	0.038	0.1881	0	0	0	0
(u'J',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'L',)	0.04275	0.1197	0	0	0.04104	0	0	0	0	0	0	0.2223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'N',)	0	0	0	0	0	0	0	0	0	0	0	0.166725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0	0.1539	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.12825	0	0	0	0	0	0	0.0	0	0
(u'R',)	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'S',)	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'a',)	0.8835	1	0.0	0	0.63612	0.132525	0.0	1	0	0.132525	0.0	1	0.238545	0.37107	0	1	0.132525	0	0.0	0.431476744186	0.0467735294118	0.5859	0.10602	0.84816	0.397575	0.0	0.203884615385	0.253526086957	1	0.0	0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0
(u'd',)	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
(u'e',)	0	0.05985	0	0	0	0	0	0	0	0	0	0.03705	0	0	0	0	0	0	0	0	0	0	0.01425	0	0	0	0.00475	0.09405	0	0	0	0
(u'f',)	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'g',)	0	0	0.0	0	0.0342	0	0	0	0	0	0	0.04168125	0	0	0	0	0	0.00244285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'i',)	0	0.9576	0.0	0.0	0	0.1368	0.0	0	0	0	0	0.53352	1	0	0	0	0.0912	0	0	1	0.2052	1	0.171	0	0.4104	0	0.228	0.214971428571	0.8208	0.0	0.0	0
(u'j',)	0.0684	0.4788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1368	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.0106875	0.000965322580645	0	0	0.02052	0	0	0	0	0	0	0.020840625	0	0	0	0	0	0.000777272727273	0	0	0	0.17955	0	0.00684	0	0	0	0	0.1026	0	0	0
(u'l',)	0.0855	0	0	0	0.0513	0	0	0	0	0	0	0.014497826087	0.038475	0	0	0.1026	0	0.0171	0	0.0748125	0	0.07182	0.0855	0	0	0	0.0122142857143	0.01254	0	0	0	0
(u'm',)	0.21375	0.29925	0	0	0.2565	0	0	0	0	0	0	0.294220588235	0.577125	0.89775	0.04275	0	0	0.011152173913	0	1	0.38475	0	0	0.2565	0.38475	0	0.64125	0.3526875	0.7695	0	0	0
(u'n',)	0	0.29925	0.0	0	0.0366428571429	0.021375	0.0	0	0.0	0	0	0.06175	0	0.149625	0	0	0	0.0855	0.0	0.16625	0	0.448875	0.21375	0.0684	0	0	0.035625	0.47025	0.513	0	0	0
(u'o',)	0	0	0.0	0	0.7182	0	0	0	0	0.00855	0	1	0.269325	0.13965	0	0	0	0	0.0	1	0.00945	0.17955	0.09975	0.4788	0.17955	0	0	0.329175	0	0	0.0	0
(u'p',)	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0
(u'r',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0
(u's',)	0.320625	0.448875	0	0	0.118384615385	0	0	0	0	0.064125	0	0.833625	0.23085	0.2244375	0.01425	0.2565	0.12825	0.0366428571429	0	0.748125	0.192375	1	0.320625	0.513	0.192375	0	0.0493269230769	0.09405	0.219857142857	0	0	0
(u't',)	0.192375	0.0448875	0.0	0	0.3078	0.07695	0	0	0	0	0	0.11115	0.69255	0.269325	0.007695	0	0	0.0513	0	0	0	0.53865	0	0.06156	0.4617	0	0.38475	0	0.115425	0	0	0.0
(u'u',)	0	0.17955	0	0	0	0	0.0	0	0	0	0	1	0	0.17955	0	0.1539	0	0	0.0	0	0.038475	0.53865	0.007125	0	0	0	0.064125	0.141075	0	0	0	0
(u'w',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.1026	0	0	0	0	0.0513	0	0	0	0	0	0.0855	0	0	0	0	0
(u'z',)	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'\u200d',)	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
