	(u'C',)	(u'L',)	(u'O',)	(u'R',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)	(u'x',)	(u'y',)
(u'C',)	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'L',)	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'O',)	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'R',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'a',)	0	0.0	0.102566666667	0.0	0.6538625	0.177519230769	0.0384625	0.846175	0.0	0.0	0.76925	0.36924	0.1153875	0.384625	0.15385	1	0.0	0.0181	0.410266666667	0.3077	0.0	0
(u'b',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'd',)	0	0	0	0	0.205133333333	0	0	0.132733333333	0	0.0	0	0	0	0	0.00603333333333	0	0	0	0	0	0	0
(u'e',)	0.0	0	0	0.0	1	1	0.4525	1	0.0	0	0.905	0.387857142857	0.905	0.102840909091	0	0.791875	0.0	0.0137121212121	0.4525	0	0	0
(u'g',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0
(u'i',)	0	0	0.0120666666667	0	0	0.543	0.0362	0.0147481481481	0	0	0.724	0.2172	0.2172	0.0113125	0	0	0.0	0.0362	0.0724	0	0	0
(u'k',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0
(u'l',)	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0
(u'm',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0
(u'n',)	0.0	0	0	0	1	0	0	0.348425	0.0	0	1	0.7602	0	0	0.0281555555556	1	0	0	0.5068	0	0	0
(u'o',)	0	0	0	0	0.384625	1	0.04525	0.49775	0.0	0	0.402222222222	0.181	0.155142857143	0.4525	0	0.422333333333	0.0	0.0139230769231	1	0	0	0
(u'p',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'r',)	0	0	0	0	0.282058333333	0	0.09955	0.0842346153846	0	0.0	1	1	0.170657142857	0.9955	0.0248875	1	0	0	0	0	0	0
(u's',)	0	0	0	0	0.290605555556	1	0.3077	0.67694	0	0.0	1	0.9231	0.3077	0	0.3077	0	0	0	0.205133333333	0.3077	0.0	0
(u't',)	0	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0
(u'u',)	0.0	0	0	0	0.0439571428571	0.13575	0	0.1991	0.0	0	0.362	0	0	0.0905	0	0.0181	0	0	0	0	0	0.0
(u'x',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
