	(u'C',)	(u'R',)	(u'a',)	(u'b',)	(u'd',)	(u'e',)	(u'g',)	(u'i',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'o',)	(u'p',)	(u'r',)	(u's',)	(u't',)	(u'u',)
(u'C',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'R',)	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'a',)	0	0.0	0.395833333333	0.339285714286	0.0	1	0.0	0	0.554166666667	0.0	0.0791666666667	0.59375	0	0	0.0	0.0	0.2375	0.0
(u'b',)	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0
(u'd',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'e',)	0.0	0	0.95	1	0	1	0.0	0	0.798	0.0	0	0.316666666667	0	0	0.0	0.0	1	0
(u'g',)	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
(u'i',)	0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0
(u'k',)	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
(u'l',)	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u'm',)	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'n',)	0	0	0.95	0	0	0.57	0.0	0	0.3325	0.0	0	0	0.0	0.0	0	0	0.76	0
(u'o',)	0	0	0.2375	1	0.0	0.285	0.0	0	0.16625	0.0	0.0610714285714	0	0	0	0.0	0.0	0	0
(u'p',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'r',)	0	0	0.475	0	0	0.122142857143	0	0.0	0	0.0	0.21375	1	0.0	0	0	0	0	0
(u's',)	0	0	0.2671875	1	0	1	0	0	0	0	0.320625	0	0	0	0	0	0.21375	0.0
(u't',)	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0
(u'u',)	0	0	0.0339285714286	0.475	0	0	0	0	0.3325	0	0	0.2375	0	0	0	0	0	0
