a ஹ
al ஺
an ஻
ar ஼
as ஽
ay ா
ba ி
bam ீ
bas ு
bay ூ
be ௃
ben ௄
ber ௅
bes ெ
bi ே
bir ை
bis ௉
bo ொ
bol ோ
bor ௌ
boy ்
boys ௎
bra ௏
bre ௐ
bri ௑
brir ௒
bro ௓
bru ௔
bu ௕
Ca ௖
Car ௗ
Cas ௘
Ce ௙
Ces ௚
Ci ௛
Cis ௜
Co ௝
Cu ௞
da ௟
dad ௠
dar ௡
das ௢
de ௣
del ௤
den ௥
des ௦
di ௧
do ௨
don ௩
dor ௪
dos ௫
doy ௬
du ௭
e ௮
el ௯
em ௰
en ௱
er ௲
es ௳
ex ௴
fa ௵
fri ௶
fru ௷
fu ௸
ga ௹
gan ௺
gar ௻
gas ௼
ge ௽
ger ௾
ges ௿
gin ఀ
go ఁ
gra ం
gu ః
gun ఄ
gur అ
gurt ఆ
gus ఇ
i ఈ
ir ఉ
is ఊ
ix ఋ
ka ఌ
kan ఍
kar ఎ
kas ఏ
ke ఐ
ki ఑
kla ఒ
ko ఓ
kon ఔ
kos క
kre ఖ
ku గ
la ఘ
La ఙ
las చ
le ఛ
Le జ
li ఝ
Li ఞ
lim ట
lir ఠ
lo డ
Lo ఢ
los ణ
lox త
ma థ
mag ద
man ధ
mas న
me ఩
men ప
mer ఫ
mes బ
mi భ
mir మ
mis య
mo ర
mon ఱ
mor ల
mos ళ
mu ఴ
muy వ
na శ
Na ష
nar స
Nar హ
ne ఺
ner ఻
nes ఼
ni ఽ
no ా
No ి
nos ీ
o ు
O ూ
Oa ృ
Oe ౄ
Oer ౅
Oes ె
Oi ే
Oin ై
Oir ౉
om ొ
OO ో
os ౌ
oy ్
pa ౎
pan ౏
par ౐
pe ౑
per ౒
pes ౓
pi ౔
pin ౕ
po ౖ
pon ౗
por ౘ
pre ౙ
pri ౚ
pro ౛
pu ౜
pum ౝ
ra ౞
Ra ౟
Rar ౠ
ras ౡ
re ౢ
Re ౣ
Rer ౤
res ౥
ri ౦
Ri ౧
ro ౨
rom ౩
sa ౪
sal ౫
se ౬
ses ౭
si ౮
sin ౯
so ౰
soy ౱
su ౲
ta ౳
tam ౴
tan ౵
tar ౶
tas ౷
te ౸
ten ౹
ter ౺
tes ౻
ti ౼
tin ౽
tir ౾
to ౿
ton ಀ
tos ಁ
tra ಂ
tras ಃ
tres ಄
tro ಅ
tu ಆ
tuy ಇ
u ಈ
un ಉ
uy ಊ
xa ಋ
xi ಌ
xo ಍
xor ಎ
xu ಏ
